slug,action,target
# 프루닝 웨이브 1 — GSC 미색인 327건 전수 판정 (2026-08-27)
# 판정: 에이전트 팬아웃 25개(클러스터 심사 18 + 적대 검증 6 + 새니티 감사 1) + 새니티 조정 2건
# 근거 데이터: docs/revenue-log/gsc-notindexed-drilldown-2026-08-27.json
# 전체 판정 사유: docs/audits/pruning-verdicts-2026-08-27.json
credit-inquiry-hard-vs-soft-score,delete
high-fuel-subsidy-2026-application-d30,delete
investment-loss-offset-bond-stock-etf,delete
kisa-individual-investment-tax-deduction,delete
personal-business-card-purchase-limit,delete
bokjiro-mobile-application,merge,bokjiro-mobile-9-welfare-integrated
business-closure-unemployment-eligibility,merge,self-employed-unemployment-benefit
car-inspection-missed-cumulative-fine,merge,car-periodic-inspection-overdue-penalty
car-tax-refund-cases,merge,car-tax-refund-application-guide
comprehensive-income-tax-correction-filing-june-error-recovery,merge,comprehensive-income-tax-amended-return-correction
deposit-return-dispute-tenancy-injunction,merge,tenancy-injunction-deposit-protection
first-year-annual-leave-11-vs-15,merge,annual-leave-1year-vs-prorated
meal-allowance-tax-exempt,merge,meal-allowance-200k-card-vs-cash
national-pension-retroactive-payment-june-decision,merge,nps-additional-payment-coverage-extension
parent-child-pre-gift-5000man-tax-free-june,merge,gift-tax-50m-exemption-relations
pension-savings-vs-irp,merge,pension-savings-vs-irp-tax-credit
pre-credit-recovery-90day-self-report,merge,credit-recovery-pre-debt-adjustment
property-tax-d1-june-1-24h-final,merge,comprehensive-property-tax-june-1-baseline
property-tax-d2-june-1-final-checklist,merge,comprehensive-property-tax-june-1-baseline
property-tax-deed-d1-final-checklist,merge,property-tax-may-30-deed-completion-d8
property-tax-rental-housing-7-8-month-prep,merge,property-tax-rental-housing-exclusion-application
self-employed-july-insurance-d29-installment,merge,self-employed-4-major-insurance-after-tax-filing
term-deposit-vs-installment-savings,merge,deposit-vs-installment-rate-12month
beotimmok-jeonse-loan,noindex
bond-etf-vs-direct-tax-liquidity,noindex
capital-gains-tax-june-seller-aug-31-prep,noindex
capital-gains-tax-june-seller-document-organization,noindex
car-environment-fee-5grade-old,noindex
car-environment-fee-diesel-old-exempt,noindex
car-inspection-comprehensive-vs-regular-environment,noindex
car-insurance-accident-rating-switch,noindex
car-tax-child-name-transfer-tax-saving,noindex
child-care-allowance-2026-application-guide,noindex
child-tax-credit-and-allowance-may-filing,noindex
child-tax-deduction-additional-refund-june-recovery,noindex
civil-24-self-vs-delegation,noindex
comprehensive-income-tax-5-year-audit-risk,noindex
comprehensive-income-tax-d-day-may-31,noindex
comprehensive-income-tax-d1-final-hour-checklist,noindex
comprehensive-income-tax-d8-final-week-action-plan,noindex
comprehensive-income-tax-first-24h-after-deadline,noindex
comprehensive-income-tax-hometax-simulator-d9,noindex
comprehensive-income-tax-may-31-system-risk,noindex
comprehensive-income-tax-may-filing,noindex
comprehensive-income-tax-payment-methods-comparison,noindex
comprehensive-income-tax-refund-account-registration,noindex
comprehensive-income-tax-refund-first-batch-june,noindex
comprehensive-income-tax-refund-recycle-strategy,noindex
daycare-fee-vs-child-care-allowance-decision,noindex
db-vs-dc-retirement-pension,noindex
delinquency-vs-delay-interest-limit,noindex
earned-income-tax-credit-late-application-d-day,noindex
energy-cashback-summer-electricity-application,noindex
energy-voucher-household-member-addition-june,noindex
energy-voucher-summer-cooling-application,noindex
family-relation-certificate-issuance,noindex
first-time-business-tax-filer-guide-d3,noindex
foreign-income-comprehensive-tax-d7,noindex
freelancer-3-3-percent-comprehensive-tax-d5,noindex
government-application-forms,noindex
health-promotion-insurance-discount-steps,noindex
hometax-mobile-guide,noindex
hope-savings-leap-account-rollover,noindex
income-tax-vs-yearend-tax,noindex
irp-june-additional-payment-tax-credit-limit,noindex
irp-portfolio-recommendation,noindex
isa-account-comparison,noindex
isa-maturity-next-product-comparison,noindex
july-tax-calendar-self-employed,noindex
june-business-income-organization-next-year,noindex
june-first-week-tax-post-deadline-guide,noindex
k-pass-public-transport-refund-guide,noindex
local-income-tax-june-filing-after-comprehensive,noindex
long-term-care-insurance-family-dependent-june-check,noindex
maternity-childcare-pay-comparison,noindex
may-29-last-business-day-deadline-actions,noindex
military-readiness-savings,noindex
monthly-installment-etf-guide,noindex
monthly-rent-tax-credit-application,noindex
mutual-finance-tax-free-deposit-limit,noindex
negative-checking-vs-credit-loan,noindex
newlywed-didimdol-june-vs-july-decision,noindex
noran-umbrella-eligibility,noindex
noran-umbrella-may-deadline-strategy,noindex
pension-savings-insurance-fund-bank,noindex
resident-registration-5min-mobile,noindex
retirement-fund-needed,noindex
salary-negotiation-data-prep,noindex
self-employed-credit-loan-limit-recovery-june,noindex
severance-mid-term-settlement-tax,noindex
student-loan-income-contingent-vs-fixed,noindex
vat-1q-sales-june-organization-start,noindex
vat-filing-guide,noindex
vat-filing-july-25-d2month-preparation,noindex
weekend-work-allowance-vs-replacement,noindex
youth-hope-savings-maturity-strategy,noindex
youth-housing-savings-preferential-vs-regular,noindex
youth-leap-account-non-applicants-june-final-check,noindex
youth-leap-account-simulation,noindex
youth-tomorrow-fund-5year-vs-cancel,noindex
